sstart,ssample_end_date,selected_features
49,2016-09-01,"target, Army_lag1, loan_lag3, Army_lag2, Audi, Army, Small.busines_lag1, trade_lag2"
50,2016-10-01,"target, Army_lag1, Army_lag2, loan_lag3, Small.busines_lag1, Audi, rental_lag2, Army"
51,2016-11-01,"target, Army_lag1, loan_lag3, Army, Electricity, Army_lag2, Audi, Small.busines_lag1"
52,2016-12-01,"target, Army_lag1, loan_lag3, Electricity, Audi, insurance_lag3, rental_lag2, Army"
53,2017-01-01,"target, Army_lag1, loan_lag3, rental_lag2, Audi, Electricity, Army, Food.Service_lag3"
54,2017-02-01,"target, Army_lag1, loan_lag3, Electricity, Audi, Food.Service_lag3, trade_lag2, Volvo_lag3"
55,2017-03-01,"target, Army_lag1, Electricity, loan_lag3, Audi, Volvo_lag3, rental_lag2, Food.Service_lag3"
56,2017-04-01,"target, Army_lag1, loan_lag3, Volvo_lag3, rental_lag2, Audi, Electricity, Food.Service_lag3"
57,2017-05-01,"target, Army_lag1, loan_lag3, Audi, rental_lag2, Volvo_lag3, Electricity, Food.Service_lag3"
58,2017-06-01,"target, rental_lag2, Army_lag1, Audi, loan_lag3, Electricity, Army_lag2, Farm...15"
59,2017-07-01,"target, rental_lag2, Army_lag1, loan_lag3, Audi, Electricity, Food.Service_lag3, loan"
60,2017-08-01,"target, rental_lag2, Audi, loan_lag3, Small.business_lag1, Army_lag1, trade_lag2, Electricity_lag2"
61,2017-09-01,"target, rental_lag2, Army_lag1, Electricity, Small.business_lag1, Electricity_lag2, loan_lag3, Audi"
62,2017-10-01,"target, rental_lag2, Small.business_lag1, loan_lag3, Volvo_lag3, loan, Farm...25, Farm...15"
63,2017-11-01,"target, rental_lag2, Small.business_lag1, loan_lag3, Volvo_lag3, Farm...25, Farm...15, Construction...26_lag2"
64,2017-12-01,"target, rental_lag2, Small.business_lag1, Electricity_lag2, Volvo_lag3, loan, Farm...25, Farm...15"
65,2018-01-01,"target, Small.business_lag1, rental_lag2, Electricity_lag2, loan, Volvo_lag3, Audi, travel_lag3"
66,2018-02-01,"target, Small.business_lag1, loan, Electricity_lag2, rental_lag2, Electricity_lag1, Food.Service_lag2, travel_lag3"
67,2018-03-01,"target, Small.business_lag1, loan, Electricity_lag2, rental_lag2, Volvo_lag3, Electricity_lag1, Food.Service_lag2"
68,2018-04-01,"target, Small.business_lag1, Electricity_lag2, loan, Farm...25, Farm...15, Volvo_lag3, Electricity_lag1"
69,2018-05-01,"target, Small.business_lag1, Volvo_lag3, Electricity_lag2, loan, Electricity_lag1, Farm...25, Farm...15"
70,2018-06-01,"target, Small.business_lag1, Volvo_lag3, Electricity_lag2, Electricity_lag1, Farm...25, Farm...15, loan"
71,2018-07-01,"target, Small.business_lag1, Electricity_lag2, Electricity_lag1, Volvo_lag3, loan, online.business_lag3, travel_lag3"
72,2018-08-01,"target, Small.business_lag1, Electricity_lag1, Electricity_lag2, online.business_lag3, loan, Farm...15, Farm...25"
73,2018-09-01,"target, Small.business_lag1, Electricity_lag2, Electricity_lag1, loan, Farm...25, Farm...15, travel_lag3"
74,2018-10-01,"target, Small.business_lag1, Electricity_lag2, Electricity_lag1, Farm...15, Farm...25, loan, travel_lag3"
75,2018-11-01,"target, Small.business_lag1, Electricity_lag1, Electricity_lag2, loan, Farm...25, Farm...15, trade_lag2"
76,2018-12-01,"target, Small.business_lag1, Electricity_lag1, loan, Farm...15, Farm...25, Electricity_lag2, trade_lag2"
77,2019-01-01,"target, Small.business_lag1, Electricity_lag1, loan, Electricity_lag2, Farm...25, Farm...15, trade_lag2"
78,2019-02-01,"target, Small.business_lag1, Electricity_lag1, Farm...25, Farm...15, Electricity_lag2, loan, trade_lag2"
79,2019-03-01,"target, Small.business_lag1, Electricity_lag1, Electricity_lag2, Volvo_lag3, trade_lag2, rental_lag2, Farm...25"
80,2019-04-01,"target, Small.business_lag1, Electricity_lag1, Services_lag1, trade_lag2, Electricity_lag2, Volvo_lag3, loan"
81,2019-05-01,"target, Small.business_lag1, Electricity_lag1, Services_lag1, Electricity_lag2, Construction...26_lag2, Construction...14_lag2, loan"
82,2019-06-01,"target, Small.business_lag1, Electricity_lag1, Services_lag1, Electricity_lag2, Farm...15, Farm...25, Food.Service_lag2"
83,2019-07-01,"target, Small.business_lag1, Electricity_lag1, Services_lag1, Electricity_lag2, Farm...25, Farm...15, Volvo_lag3"
84,2019-08-01,"target, Electricity_lag1, Small.business_lag1, Services_lag1, Electricity_lag2, Farm...15, Farm...25, trade_lag2"
85,2019-09-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, Farm...25, Farm...15, trade_lag2"
86,2019-10-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, rental_lag2, Services_lag1, Farm...25, Farm...15"
87,2019-11-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, Food.Service_lag2, rental_lag2, trade_lag1"
88,2019-12-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Food.Service_lag2, Services_lag1, rental_lag2, trade_lag1"
89,2020-01-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, Food.Service_lag2, rental_lag2, health.policy"
90,2020-02-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, Food.Service_lag2, health.policy, rental_lag2"
91,2020-03-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, health.policy, Food.Service_lag2, rental_lag2"
92,2020-04-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, health.policy, rental_lag2, Food.Service_lag2"
93,2020-05-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Services_lag1, trade_lag2, health.policy, Food.Service_lag2"
94,2020-06-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, health.policy_lag1, health.policy, trade_lag2, Food.Service_lag2"
95,2020-07-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, trade_lag2, health.policy_lag1, Food.Service_lag2, health.policy"
96,2020-08-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag2, health.policy, trade_lag1, travel_lag3"
97,2020-09-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag2, trade_lag1, online_lag1, Services_lag1"
98,2020-10-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag2, trade_lag1, online_lag1, Services_lag1"
99,2020-11-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag2, insurance_lag2, trade_lag1, Services_lag1"
100,2020-12-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag1, trade_lag2, Services_lag1, insurance_lag2"
101,2021-01-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, Services_lag1, trade_lag1, trade_lag2, insurance_lag2"
102,2021-02-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag1, trade_lag2, rental_lag3, Small.busines_lag3"
103,2021-03-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, trade_lag1, rental_lag3, insurance, rental_lag1"
104,2021-04-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Finance...11_lag1, Finance...30_lag1, unemployment, insurance"
105,2021-05-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, unemployment, Finance...30_lag1, Finance...11_lag1, insurance"
106,2021-06-01,"target, Electricity_lag1, Electricity_lag2, Small.business_lag1, Finance...30_lag1, Finance...11_lag1, travel, trade_lag2"
107,2021-07-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Finance...30_lag1, Finance...11_lag1, Services_lag1, trade_lag2"
108,2021-08-01,"target, Electricity_lag1, Small.business_lag1, Electricity_lag2, Finance...30_lag1, Finance...11_lag1, Services_lag1, trade_lag2"
