sstart,ssample_end_date,selected_features
46,2016-06-01,"target, Audi_lag3, unemployment, Ford...38_lag1, Ford...28_lag1, Ford...4_lag1, Farm...25_lag2, Farm...15_lag2"
47,2016-07-01,"target, Farm...25_lag2, Farm...15_lag2, Agriculture, insurance_lag3, unemployment, Construction...14_lag3, Construction...26_lag3"
48,2016-08-01,"target, insurance_lag3, Farm...25_lag2, Farm...15_lag2, Construction...14_lag3, Construction...26_lag3, loan_lag2, unemployment_lag3"
49,2016-09-01,"target, unemployment, insurance_lag1, Farm...25_lag2, Farm...15_lag2, Agriculture, insurance, insurance_lag3"
50,2016-10-01,"target, Farm...25_lag2, Farm...15_lag2, unemployment, insurance_lag1, Agriculture, Electricity_lag2, insurance"
51,2016-11-01,"target, insurance, unemployment, Farm...25_lag2, Farm...15_lag2, Electricity_lag2, insurance_lag1, Agriculture"
52,2016-12-01,"target, insurance_lag1, insurance, Electricity_lag2, Volvo, rental_lag2, insurance_lag3, Agriculture"
53,2017-01-01,"target, Electricity_lag2, insurance_lag1, insurance, Volvo, unemployment, Electricity_lag1, insurance_lag3"
54,2017-02-01,"target, Electricity_lag2, Farm...25_lag2, Farm...15_lag2, Export_lag1, Electricity_lag1, Agriculture, Volvo"
55,2017-03-01,"target, Electricity_lag2, Farm...25_lag2, Farm...15_lag2, Agriculture, Volvo, rental_lag2, Export_lag1"
56,2017-04-01,"target, Electricity_lag2, unemployment_lag2, Agriculture, Export_lag1, Volvo, insurance_lag3, Electricity_lag1"
57,2017-05-01,"target, unemployment_lag2, Export_lag1, Electricity_lag2, Volvo, Agriculture, Construction...26_lag3, Construction...14_lag3"
58,2017-06-01,"target, unemployment_lag2, Export_lag1, Volvo, Electricity_lag2, Agriculture, unemployment, Electricity"
59,2017-07-01,"target, unemployment_lag2, Export_lag1, Volvo, unemployment, Agriculture, insurance_lag3, Electricity_lag2"
60,2017-08-01,"target, unemployment_lag2, Export_lag1, Volvo, unemployment, insurance_lag3, real.estate, Property.management_lag3"
61,2017-09-01,"target, unemployment_lag2, Export_lag1, Volvo, unemployment, insurance_lag3, real.estate, Electricity_lag2"
62,2017-10-01,"target, unemployment_lag2, Volvo, unemployment, Export_lag1, Property.management_lag1, Agriculture, insurance_lag3"
63,2017-11-01,"target, unemployment_lag2, Volvo, Export_lag1, unemployment, Agriculture, real.estate, Construction...26_lag1"
64,2017-12-01,"target, unemployment_lag2, Volvo, Export_lag1, unemployment, real.estate_lag2, Electricity_lag2, Farm...25_lag2"
65,2018-01-01,"target, unemployment_lag2, Volvo, unemployment, Export_lag1, Electricity_lag2, real.estate_lag2, insurance_lag3"
66,2018-02-01,"target, unemployment_lag2, Volvo, Export_lag1, unemployment, Property.management_lag1, travel_lag3, insurance_lag3"
67,2018-03-01,"target, unemployment_lag2, Volvo, insurance_lag3, unemployment, Small.busines_lag1, whole.sale, Property.management_lag1"
68,2018-04-01,"target, unemployment_lag2, Volvo, insurance_lag3, Army_lag3, unemployment, Food.Service, Finance...30_lag3"
69,2018-05-01,"target, Volvo, unemployment_lag2, insurance_lag3, Army_lag3, Food.Service, Finance...11_lag3, Finance...30_lag3"
70,2018-06-01,"target, unemployment_lag2, Volvo, insurance_lag3, travel_lag3, Army_lag3, budget_lag3, Property.management_lag1"
71,2018-07-01,"target, unemployment_lag2, Volvo, insurance_lag3, Army_lag3, Property.management_lag1, budget_lag3, Mining_lag1"
72,2018-08-01,"target, unemployment_lag2, Volvo, insurance_lag3, budget_lag3, Army_lag3, Finance...11_lag1, Finance...30_lag1"
73,2018-09-01,"target, unemployment_lag2, insurance_lag3, Volvo, Army_lag3, budget_lag3, Finance...30_lag1, Finance...11_lag1"
74,2018-10-01,"target, Volvo, unemployment_lag2, Army_lag3, insurance_lag3, budget_lag3, Audi, Finance...11_lag1"
75,2018-11-01,"target, Volvo, unemployment_lag2, Army_lag3, insurance_lag3, budget_lag3, Property.management_lag1, Mining"
76,2018-12-01,"target, Volvo, Army_lag3, insurance_lag3, unemployment_lag2, Property.management_lag1, Audi, Small.business_lag1"
77,2019-01-01,"target, Volvo, Army_lag3, insurance_lag3, unemployment_lag2, Property.management_lag1, Property.management, Mining"
78,2019-02-01,"target, Army_lag3, Volvo, insurance_lag3, Agriculture_lag3, Property.management, Small.business_lag1, unemployment_lag2"
79,2019-03-01,"target, Army_lag3, Volvo, Agriculture_lag3, insurance_lag3, Small.business_lag1, Mining, Food.Service"
80,2019-04-01,"target, Army_lag3, Agriculture_lag3, Volvo, unemployment_lag2, Food.Service, insurance_lag3, Finance...11_lag3"
81,2019-05-01,"target, Agriculture_lag3, Army_lag3, Volvo, trade_lag1, unemployment_lag2, Audi, online.business_lag1"
82,2019-06-01,"target, Agriculture_lag3, Army_lag3, Volvo, Army, unemployment_lag2, trade_lag1, Property.management_lag1"
83,2019-07-01,"target, Agriculture_lag3, Army_lag3, Volvo, Property.management_lag1, Army, unemployment_lag2, trade_lag1"
84,2019-08-01,"target, Agriculture_lag3, Army_lag3, Army, Property.management_lag1, unemployment_lag2, Volvo, trade_lag1"
85,2019-09-01,"target, Agriculture_lag3, Army_lag3, Finance...11, Finance...30, Volvo, online.business_lag1, trade_lag1"
86,2019-10-01,"target, Agriculture_lag3, Army_lag3, Finance...30, Finance...11, Volvo, trade_lag1, online.business_lag1"
87,2019-11-01,"target, Agriculture_lag3, Finance...30, Finance...11, Army_lag3, Volvo, Property.management_lag1, Audi"
88,2019-12-01,"target, Agriculture_lag3, Finance...30, Finance...11, Army_lag3, Volvo, Property.management_lag1, Army"
89,2020-01-01,"target, Agriculture_lag3, Finance...30, Finance...11, Army_lag3, Volvo, Army, trade_lag1"
90,2020-02-01,"target, Agriculture_lag3, Finance...30, Finance...11, Army, Volvo, Army_lag3, budget_lag1"
91,2020-03-01,"target, Agriculture_lag3, Army, Finance...30, Finance...11, Volvo, budget_lag1, Property.management"
