sstart,ssample_end_date,selected_features
29,2015-01-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, TBILL_6M.Bank_rate, EX_ENER_BP_new_lag2, UNEMP_CAN, IPPI_ENER_CAN"
30,2015-02-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, TBILL_6M.Bank_rate, EX_ENER_BP_new_lag2, CRED_MORT_HOUSE_cb_lag1, GOV_AVG_1_3Y"
31,2015-03-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, EX_ENER_BP_new_lag2, TBILL_6M.Bank_rate, IPPI_ENER_CAN, CAN_EQTY_NETFLOW_lag3"
32,2015-04-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, TBILL_6M.Bank_rate, CAN_EQTY_NETFLOW_lag3, IPPI_ENER_CAN, CRED_MORT_HOUSE_cb_lag1"
33,2015-05-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, CAN_EQTY_NETFLOW_lag3, TBILL_6M.Bank_rate, CAN_US_SEC_NETFLOW_lag3, NHOUSE_P_CAN_lag1"
34,2015-06-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, CAN_EQTY_NETFLOW_lag3, TBILL_6M.Bank_rate, NHOUSE_P_CAN_lag1, CAN_US_SEC_NETFLOW_lag3"
35,2015-07-01,"target, CRED_MORT_HOUSE_cb, TBILL_6M, TSX_HI, CAN_EQTY_NETFLOW_lag3, CAN_US_SEC_NETFLOW_lag3, NHOUSE_P_CAN, TBILL_6M.Bank_rate"
36,2015-08-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN_lag1, TBILL_6M, NHOUSE_P_CAN, TSX_HI, CAN_EQTY_NETFLOW_lag3, CAN_US_SEC_NETFLOW_lag3"
37,2015-09-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN_lag1, TBILL_6M, TSX_HI, NHOUSE_P_CAN, CAN_EQTY_NETFLOW_lag3, CRED_MORT_HOUSE_cb_lag1"
38,2015-10-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN_lag1, TBILL_6M, TSX_HI, NHOUSE_P_CAN, CAN_EQTY_NETFLOW_lag3, CRED_MORT_HOUSE_cb_lag1"
39,2015-11-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, NHOUSE_P_CAN_lag1, CRED_MORT_HOUSE_cb_lag1, TSX_LO_lag1, IPPI_ENER_CAN, TBILL_6M"
40,2015-12-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, NHOUSE_P_CAN_lag1, TSX_LO_lag1, TBILL_6M_lag1, TSX_HI_lag1, CRED_MORT_HOUSE_cb_lag1"
41,2016-01-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, NHOUSE_P_CAN_lag1, TSX_LO_lag1, TBILL_6M_lag1, TSX_HI_lag1, CRED_MORT_HOUSE_cb_lag1"
42,2016-02-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, NHOUSE_P_CAN_lag1, TBILL_6M_lag1, TSX_LO_lag1, TSX_HI_lag1, IPPI_ENER_CAN"
43,2016-03-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M_lag1, NHOUSE_P_CAN_lag1, BANK_RATE_L, TBILL_6M, TSX_HI_lag1"
44,2016-04-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M_lag1, BANK_RATE_L, NHOUSE_P_CAN_lag1, TBILL_6M, TSX_HI_lag1"
45,2016-05-01,"target, NHOUSE_P_CAN, CRED_MORT_HOUSE_cb, TBILL_6M_lag1, BANK_RATE_L, NHOUSE_P_CAN_lag1, TBILL_6M.Bank_rate_lag2, TBILL_6M"
46,2016-06-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M.Bank_rate_lag2, TBILL_6M.Bank_rate_lag3, NHOUSE_P_CAN_lag1, TBILL_6M.Bank_rate_lag1, TBILL_6M_lag1"
47,2016-07-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M_lag1, TBILL_6M.Bank_rate_lag2, NHOUSE_P_CAN_lag1, TBILL_6M.Bank_rate_lag1, BANK_RATE_L"
48,2016-08-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M.Bank_rate_lag2, TBILL_6M_lag1, NHOUSE_P_CAN_lag1, TBILL_6M.Bank_rate_lag1, BANK_RATE_L"
49,2016-09-01,"target, CRED_MORT_HOUSE_cb, NHOUSE_P_CAN, TBILL_6M.Bank_rate_lag2, TBILL_6M_lag1, TBILL_6M.Bank_rate_lag1, NHOUSE_P_CAN_lag1, BANK_RATE_L"
50,2016-10-01,"target, NHOUSE_P_CAN_lag1, TBILL_6M.Bank_rate_lag2, CRED_MORT_HOUSE_cb, TBILL_6M.Bank_rate_lag3, WTISPLC_lag3, TBILL_6M.Bank_rate_lag1, NHOUSE_P_CAN"
51,2016-11-01,"target, NHOUSE_P_CAN_lag1, WTISPLC_lag3, TBILL_6M.Bank_rate_lag1, NHOUSE_P_CAN, Audi_lag1, EOIL_BP_new_lag2, TBILL_3M_lag1"
52,2016-12-01,"target, NHOUSE_P_CAN_lag1, WTISPLC_lag3, Audi_lag1, NHOUSE_P_CAN, TBILL_6M.Bank_rate_lag1, EOIL_BP_new_lag2, EMP_FOR_OIL_CAN_lag2"
53,2017-01-01,"target, Audi_lag1, NHOUSE_P_CAN_lag1, WTISPLC_lag3, EMP_FOR_OIL_CAN_lag2, Food.Service_lag1, NHOUSE_P_CAN, TBILL_6M.Bank_rate_lag1"
