sstart,ssample_end_date,selected_features
23,2014-07-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, MANU_TOT_INV_new_lag2, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, IPPI_MOTOR_CAN_lag3"
24,2014-08-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, IPPI_METAL_CAN_lag1, G_AVG_5.10.Bank_rate_lag2, DUR_INV_RAT_new_lag3"
25,2014-09-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, G_AVG_5.10.Bank_rate, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, G_AVG_3.5.Bank_rate, DUR_INV_RAT_new_lag3"
26,2014-10-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3"
27,2014-11-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, DUR_INV_RAT_new_lag3, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, IPPI_METAL_CAN_lag1, G_AVG_5.10.Bank_rate_lag2"
28,2014-12-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, DUR_INV_RAT_new_lag3, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag1, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate"
29,2015-01-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag3, DUR_INV_RAT_new_lag1"
30,2015-02-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, G_AVG_5.10.Bank_rate, DUR_INV_RAT_new_lag1, G_AVG_3.5.Bank_rate"
31,2015-03-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, MANU_TOT_INV_new_lag2, IPPI_METAL_CAN_lag3, DUR_INV_RAT_new_lag1"
32,2015-04-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, G_AVG_5.10.Bank_rate, MANU_TOT_INV_new_lag2, DUR_INV_RAT_new_lag3, G_AVG_3.5.Bank_rate"
33,2015-05-01,"target, IPPI_METAL_CAN_lag2, IMP_CONS_BP_new_lag3, IPPI_METAL_CAN_lag1, MANU_TOT_INV_new_lag2, DUR_INV_RAT_new_lag3, CPI_SHEL_CAN_lag2, DUR_INV_RAT_new_lag1"
34,2015-06-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, MANU_TOT_INV_new_lag2, DUR_INV_RAT_new_lag3, TBILL_6M.Bank_rate, IMP_CONS_BP_new_lag3, CPI_SHEL_CAN_lag2"
35,2015-07-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, DUR_INV_RAT_new_lag1, IMP_CONS_BP_new_lag3, TBILL_6M.Bank_rate_lag3, TBILL_6M.Bank_rate"
36,2015-08-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, IMP_CONS_BP_new_lag3, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag3, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new_lag1"
37,2015-09-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, IMP_CONS_BP_new_lag3, TBILL_6M.Bank_rate_lag3, IPPI_METAL_CAN_lag3, DUR_INV_RAT_new_lag3, DUR_INV_RAT_new_lag1"
38,2015-10-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag3, DUR_INV_RAT_new_lag1, TBILL_6M.Bank_rate_lag3, IMP_CONS_BP_new_lag3"
39,2015-11-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag3, IMP_CONS_BP_new_lag3, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new_lag1"
40,2015-12-01,"target, IPPI_METAL_CAN_lag2, IPPI_METAL_CAN_lag1, DUR_INV_RAT_new_lag3, TBILL_6M.Bank_rate_lag1, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new_lag1, TBILL_6M.Bank_rate"
41,2016-01-01,"target, IPPI_METAL_CAN_lag2, TBILL_6M.Bank_rate, DUR_INV_RAT_new_lag3, TBILL_6M.Bank_rate_lag1, IPPI_METAL_CAN_lag1, TBILL_6M.Bank_rate_lag3, TBILL_6M.Bank_rate_lag2"
42,2016-02-01,"target, IPPI_METAL_CAN_lag2, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag1, TBILL_6M.Bank_rate, TBILL_6M.Bank_rate_lag3, TBILL_6M.Bank_rate_lag1, TBILL_6M.Bank_rate_lag2"
43,2016-03-01,"target, IPPI_METAL_CAN_lag2, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag1, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new_lag1, DUR_INV_RAT_new_lag2, TBILL_6M.Bank_rate_lag2"
44,2016-04-01,"target, IPPI_METAL_CAN_lag2, DUR_INV_RAT_new_lag3, IPPI_METAL_CAN_lag1, TBILL_6M.Bank_rate_lag3, DUR_INV_RAT_new_lag1, DUR_INV_RAT_new_lag2, TBILL_6M.Bank_rate_lag2"
45,2016-05-01,"target, IPPI_METAL_CAN_lag2, travel_lag1, DUR_INV_RAT_new_lag3, TSX_HI, MANU_TOT_INV_new_lag2, DUR_INV_RAT_new_lag2, MANU_INV_RAT_new_lag3"
46,2016-06-01,"target, IPPI_METAL_CAN_lag2, MANU_TOT_INV_new_lag2, TSX_HI, travel_lag1, DUR_INV_RAT_new_lag3, TBILL_6M.Bank_rate, IPPI_MACH_CAN_lag1"
47,2016-07-01,"target, TSX_HI, DUR_INV_RAT_new_lag3, IMP_CONS_BP_new_lag3, MANU_TOT_INV_new_lag2, MANU_INV_RAT_new_lag3, IPPI_METAL_CAN_lag2, Agriculture_lag2"
48,2016-08-01,"target, travel_lag1, unemployment_lag3, build_Ind_CAN_new_lag1, DUR_INV_RAT_new_lag3, TSX_HI, Mining_lag2, loan"
49,2016-09-01,"target, RES_USD_lag3, TSX_HI, IMP_CONS_BP_new_lag3, build_Ind_CAN_new_lag1, Agriculture_lag2, loan, unemployment_lag3"
50,2016-10-01,"target, build_Ind_CAN_new_lag1, Agriculture_lag2, RES_USD_lag3, IMP_CONS_BP_new_lag3, loan, Agriculture_lag3, build_Ind_CAN_new_lag2"
51,2016-11-01,"target, loan, UNEMP_DURA_27._CAN, IMP_CONS_BP_new_lag3, TOT_HRS_CAN_lag2, Agriculture_lag2, travel_lag1, build_Ind_CAN_new_lag1"
52,2016-12-01,"target, build_Ind_CAN_new_lag2, UNEMP_DURA_27._CAN, TOT_HRS_CAN_lag2, IMP_CONS_BP_new_lag3, loan, Agriculture_lag3, build_Ind_CAN_new_lag1"
53,2017-01-01,"target, UNEMP_DURA_27._CAN, loan, CRED_BUS_cb_lag3, Agriculture_lag3, Agriculture_lag2, build_Ind_CAN_new_lag1, RES_IMF"
54,2017-02-01,"target, UNEMP_DURA_27._CAN, N_DUR_INV_RAT_new_lag3, RES_IMF, CRED_BUS_cb_lag3, TOT_HRS_CAN_lag2, unemployment_lag3, loan"
55,2017-03-01,"target, CRED_BUS_cb_lag3, UNEMP_DURA_27._CAN, Volvo_lag3, TBILL_6M.Bank_rate_lag1, Finance...11_lag2, Finance...30_lag2, unemployment_lag3"
56,2017-04-01,"target, CRED_BUS_cb_lag3, Volvo_lag3, Finance...11_lag2, Finance...30_lag2, UNEMP_DURA_27._CAN, unemployment_lag3, TBILL_6M.Bank_rate_lag1"
57,2017-05-01,"target, CRED_BUS_cb_lag3, Finance...11_lag2, Finance...30_lag2, whole.sale_lag2, UNEMP_DURA_27._CAN, loan, TOT_HRS_CAN_lag2"
58,2017-06-01,"target, CRED_BUS_cb_lag3, Finance...30_lag2, Finance...11_lag2, whole.sale_lag2, UNEMP_CAN_lag3, TOT_HRS_CAN_lag2, Volvo_lag3"
59,2017-07-01,"target, Finance...30_lag2, Finance...11_lag2, TOT_HRS_CAN_lag2, UNEMP_CAN_lag3, EMP_FIN_CAN_lag3, CRED_BUS_cb_lag3, RES_USD_lag3"
